연번,용어명,용어설명,유사용어
69,공업뇌관,"다이너마이트 등의 폭파약에 파괴적 폭발을 일으키기 위해 사용되는 화공품.도화선의 불꽃으로 그 기능을 발휘한다. 구리판으로 만든 관체(管體)의 바닥 부분에 테트릴·헥소겐·펜트리트 등 상당히 예민하고도 강력한 폭약(첨장 약이라고 한다)의 분말을 압착하고, 그 위에 소량의 점폭약(點爆藥)을 채워 넣은 후, 다시 구멍이 뚫린 작은 구리 내관(內管)을 덮어 씌워 보강한 것이다.공업뇌관에 전기 점화장치를 한 것이 전기뇌관이며, 그 원료로서의 공업뇌관은 원관(原管)이라 한다. 점폭약으로서 이전에는 뇌홍폭약분말(雷汞爆藥粉末:뇌홍 80, 염소산칼륨 20의 혼합물)이 사용되었으나, 현재는 디아조디니트로페놀을 사용하는 경우가 많다. 제2차 세계대전 전에는 아지드화염도 사용되었으나, 이때 구리 관체를 사용하면 위험한 아지화구리를 생성하기 때문에, 아지드화물의 폭발성이 약한 알루미늄 관체가 사용되어 알루미늄 뇌관이라고 하였다. 광석 속에 불발뇌관이 들어가면 위험하므로, 자기적(磁氣的)으로 검지(檢知)하기 위한 철관체(鐵管體)나 철과 구리를 접착시킨 금속판에 의한 관체를 사용하는 경우도 있다.",工業雷管 blasting cap
70,과산화질소,"이산화 질소(二酸化窒素)와 같은말. 질소와 산소를 고온에서 직접 작용시키거나 암모니아를 가열하거나 하여 만드는 무색의 기체. 공기보다 약간 무거우며, 여러 금속과 니트로실 화합물을 만드는데 쓰임.","過酸化窒素,No2"
71,관입암,"화성암(火成岩)의 산출 상태의 하나로 마그마가 지각 내에서 고결(固結)되어 생긴 암석.마그마가 지표에서 고결되어 생긴 화산암(또는 분출암)과 대조적으로 사용되는 말이다. 관입암체의 장자리는 주위의 암석과 접촉함으로써 마그마가 급속히 냉각되므로 암체의 내부보다 세립(細粒)이 되며, 유리질이 되는 경우도 있다.","貫入巖, Intrusive rock"
72,광괴,"불규칙 광상의 불규칙한 큰 덩어리로서, 경계가 광층과 같이 뚜렷하지 못한 광상의 덩어리이며, 그 속에 유용 광물을 포함하고 있는 것이다.",鑛塊
73,광구,"광업권이 설정되는 일정한 구역을 광구라고 한다. 광구면적에 대해서는 합리적인 광산개발이 가능한 범위내에서 최소면적과 최대면적을 설정하고 있다. 국가에 따라서는 불합리한 광업개발의 규제를 위해서 최소면적을 설정하고 있는 경우도 있고, 석유와 천연가스 등과 같이 일반광물에 비해 비교적 넓은 범위에 광물이 매장되어 있는 경우 광물의 합리적 개발을 고려하여 최대면적을 설정하고 있는 경우도 있다.광업법 제15조(광구의 단위구역)에서는 광구의 경계는 직선으로 정하고 지표경계선의 직하를 한계로 한다고 규정하고 1개 광구를 경도선 1분과 위도선 1분으로 둘러싸인 4변형의 구역으로 설정하고 있으며, 이 4변형의 구역을 단위구역으로 통칭하고 있다. 광구는 광업지적 단위로 번호가 매겨져 있는데 우리나라에는 현재 370개 광업지적이 있고, 1개의 광업지적에 150개의 광구가 있으므로 단위구역에 대한 예외를 감안할 경우 전체 광구수는 55,500개 이상이 되는 것이다. 단위광구에 대한 예외로 단위광구를 4등분한 소단위 구역에 광업권 설정이 가능한 광종을 광업법시행령 제5조에서 장석, 불석, 사문석, 고령토, 석회석, 규석, 규사, 운모(견운모 및 질석을 포함) 등 41종으로 규정하고 있으며, 광업법 제16조에서는 지형 및 공익사항에 따른 조정 등 다음과 같은 단위구역 적용의 예외를 인정하고 있다.1. 지형에 의하여 단위구역으로 광구를 정하기 곤란한 때2. 광종에 따라 단위구역의 면적이 필요하지 아니한 때 3. 기존 광구로 인하여 단위구역 실시가 곤란한 때 4. 공익사항을 제거하고 조건부로 광업권 설정의 출원구역을 감소하여 허가한 때(광업법 제29조의 2 관련) 5. 광업권 설정 후 공익상 이유에 의해 광구의 감소 처분을 한 때(광업법 제39조)광구의 면적에 대해서는 광업법시행령 제6조에서 최대면적과 최소면적을 규정하고 있는데 최대면적은 300ha로 하고, 최소면적은 석탄.흑연(인상흑연은 제외)의 경우에는 50ha, 석유(천연피치 및 가연성 천연가스 포함)의 경우에는 30ha, 기타 광물의 경우에는 3ha로 하고 있다 <단위구역의 면적이 필요하지 아니하는 광종> 인광, 석면, 유황, 석고, 납석, 활석, 남정석, 홍주석, 형석, 규조토, 장석, 불석, 사문석, 규회석, 수정, 연옥, 고령토, 석회석, 규석, 규사, 세륨광, 질코늄광, 티탄철광, 사금, 사철, 사석, 토륨광, 탄탈윰광, 니오비움광, 란타늄광, 이트륨광, 붕소광, 마그네사이트, 석탄, 흑연, 금강석, 석유 (천연피치 및 가연성 천연가스를 포함), 운모(견운모 및 질석을 포함), 명반석, 중정석, 하석 토지 소유권의 경계와 같이 광업권을 행사할 수 있는 경계 구역을 설정한 것을 광구라 한다. 따라서, 광물 채굴은 이 등록된 광구 내에서만 할 수 있으며, 광구의 경계는 직선으로 정하고, 지표 경계선의 직하를 한계로 한다. 원래 광구는 일제 시대의 법령에 따라 광업권을 출원한 사람의 의사에 따라 광상을 중심으로 자유로이 설정했으며, 이와 같은 광구를 자유형 광구라고 한다. 그러나 우리 나라 광업법이 제정될 때 이 자유형 광구 제도를 없애고 단위 광구제를 채택하게 되었는데, 이 단위 광구제는 경도선과 위도선으로 포위된 4",
74,광구단위구역,"광구의 경계는 직선으로 정하고 지표한계선의 직하를 한계로 한다. 광구는 경도선과 위도선으로 둘러싸인 4변형의 지역(단위광구)으로 하며, 그 각 모서리점의 위치는 경도 1분, 위도1분의 차가 있는 것으로 한다. 산업자원부 장관은 제 항의 단위광구에 관하여 그 광업지적·변의 길이 및 면적을 고시한다. 광구의 최대면적은 300헥타르로 하며, 최소면적은 석탄·흑연(인상흑연제외) 및 석유(천연피치 및 가연성 천연가스를 포함한다)의 경우에는 30헥타르, 기타 광물의 경우에는 3헥타르로 한다. 단위구역의 면적이 필요하지 아니하는 광종은 인광, 석면, 유황, 석고, 납석, 활석, 남정석, 홍주석, 형석, 규조토, 장석, 불석, 사문석, 규회석, 수정, 연옥, 고령토, 석회석, 규석, 규사, 세륨광, 질코늄광, 티탄철광(사광상), 사금, 사철, 사석, 토륨광, 탄탈윰광, 나오비움광, 란타늄광, 이트륨광, 붕소광, 마그네사이트, 석탄, 흑연, 금강석, 석유(천연피치 및 가연성 천연가스를 포함한다), 운모(견운모 및 질석을 포함한다), 명반석, 중정석 및 하석으로 한다.",鑛區單位區域
75,광니,"물 밑에 침적된 산물을 보면 굵은 입도의 부분과 작은 입도의 부분이 층을 이루게 되며, 굵은 입도의 것을 광사(sand), 가는 입도의 것을 광니(slime)라 구별한다. 쉽게는 광석, 석탄, 암석 등의 미세립자를 말한다.","鑛泥, slime"
76,광량,지하에 매장되어 있는 광물의 총량을 말한다.,"鑛量, Ore reserves"
77,광량계산,"광상(鑛床)의 부피를 계산하고, 여기에 광상의 평균비중을 곱하여 광상 질량인 매장량을 산출하는 일.광량(鑛量)은 그 존재의 확실성에 따라 확정광량 ·추정광량 ·예상광량의 3종류로 구분된다. 광상을 채굴함으로써 출광(出鑛)이 예상되는 조광(粗鑛)의 양은 채광실수율(採鑛實收率)과 잡물혼입률(雜物混入率)을 고려하여 계산한다.","鑛量計算, Calculatiion of ore reserves"
78,광물,"천연산 무기물로서 균질(均質)의 고체이며, 일정한 범위 내의 화학조성과 규칙적인 원자배열을 가지고 있는 물질.광물은 대체로 지각 속에서 발견되지만, 지구 밖에서 날아온 운석(隕石)이나 달의 구성물질에서도 발견된다. 광물이 천연산이라는 말은 인공적으로 만든 것은 엄밀한 의미에서는 광물이 아니라는 뜻이다. 그러나 최근에는 보석광물 및 기타 광물들도 인공적으로 합성되기 때문에 이 때는 인조(人造) 또는 합성광물이라고 부른다. 무기물이라는 것은 예외는 있지만 대개의 광물이 무기화합물이며, 이들이 무기적으로 만들어졌다는 것을 의미하기도 한다. 즉, 생물에 의하여 만들어진 것은 광물이 아니라는 뜻이다. 예를 들면, 동물에 의하여 만들어진 고체물질, 이를테면 조개껍 데기 같은 것은 광물이라고 할 수 없다. 일정한 화학조성이라는 말은 일정한 화학식으로 나타낼 수 있는 화학성분으로 구성되어 있어야 한다는 것을 의미한다. 그러나 광물의 화학조성은 여러 원인에 의하여 몇몇 광물의 경우를 제외하고는 대체로 일정한 범위 내에서 변화하는 것이 특징이기도 하다. 구성원자들이 규칙적으로 배열되어 있는 고체를 결정질(結晶質)이라고 하는데 광물은 대체로 결정질이다. 그러나 예외로서 단백석과 같이 비결정질인 것도 광물로 취급되는 경우가 있다. 또한, 광물들은 대체로 고체이지만, 예외로서 수은과 같이 액체인 것도 광물로 취급된다. 광물은 이상적인 환경에서 정출(晶出)되면 결정형을 이루지만, 대부분 불규칙한 형태로 산출된다. 그러나 외부 형태가 불규칙하다고 하여 내부구조, 즉 원자들의 배열상태가 달라지는 것은 아니다.","鑛物, mineral"
79,광물의 감정,"광물들은 서로 다른 결정 형태와 물리적 성질을 가지고 있기 때문에 육안으로 광물을 감정하려면 결정 형태와 물리적 성질(색 ·조흔색 ·광택 ·굳기 ·쪼개짐 ·단구 ·자성 ·발광성 등) 등을 이용하여 감정한다. 그러나 좀더 자세한 감정을 위해서는 편광현미경이나 광석현미경을 사용해야 하며, 정밀한 감정을 위해서는 X선회절분석 및 화학분석을 해야 한다. 때로는 육안적 감정법과 함께 취관분석에 의한 정성분석을 하여 광물종을 알아낼 수도 있다.",
80,광물의 명칭,"광물의 이름은 주로 그리스어 또는 라틴어에서 유래된 것이 많다. 광물명의 어원(語源)을 보면, 광물의 색 ·정벽 ·결정형 ·화학조성 ·비중 등에서 유래된 것도 있지만, 대체로 그 광물이 처음 발견된 지명 또는 광물학자의 이름을 따서 명명한 것이 많다. 예를 들면 루스벨타이트 ·괴타이트 ·그루너라이트 등은 광물학자의 이름을 따서 명명된 광물이고, 아라고나이트 ·프랭클리나이트 ·장군석(將軍石) 등은 산지(産地) 이름을 따서 명명된 광물이다. 한국에서 처음 발견되어 명명된 광물로는 일본인이 명명한 고토석[小藤石] ·수안석(遂安石) ·상팔동석(上八洞石)과 김수진이 명명한 장군석(將軍石:janggunit- e) 등이 있다.",
81,광물의 분류,"광물의 분류는 우선 화학조성(음이온의 종류)에 따라 구분하고, 그 다음에는 화학조성과 구조를 결합한 결정화학적 구분법에 따라 세분한다. 이러한 분류에 따른 광물은 원소광물, 황화광물, 산화광물, 할로겐광물, 탄산염광물, 질산염광물, 붕산염광물, 황산염광물, 인산염광물, 비산염광물, 바나듐산염광물, 텅스텐산염광물, 몰리브덴산염광물, 규산염광물 등이 있다.",
82,광물의 분포,"지각을 구성하고 있는 광물들 중 장석이 50% 이상을 차지하고 있고, 여기에 휘석 ·각섬석 ·석영 ·운모를 합하면 90% 이상을 차지한다. 나머지 10%를 차지하고 있는 광물로는 감람석 ·자철석 ·인회석 ·저어콘 ·티탄철석 ·금홍석 ·녹니석 ·사문석 ·석류석 ·전기석 ·탄산염광물 ·적철석 ·황철석 ·갈철석 ·강옥 ·티타나이트 ·첨정석 ·황동석 ·자류철석 등이다. 이 밖의 광물들은 모두 합쳐도 1% 이내이다. 그러나 이렇게 소량으로 함유되어 있는 광물들은 지각에 균일하게 분산되어 있지 않고 어떤 일정한 곳에 모여서 광상을 이루고 있다.",
83,광물의 산출형태,"광물의 산출상태는 광물의 성인(成因)과 밀접한 관계가 있다. 석영 ·장석 ·감람석 ·휘석 ·운모와 같은 광물은 주로 암석의 구성광물로 산출되고, 다이아몬드는 염기성 화성암에 광염상(鑛染狀)으로 산출된다. 또 열수용액에서 만들어진 광물들은 광맥이나 광맥에 인접한 모암(母岩)에서 교대광물(交代鑛物)로 산출되고, 접촉교대광상에서는 화성암과 접한 모암 내에서 괴상 또는 맥상(脈狀)으로 산출된다. 한편, 퇴적광상에서 산출되는 광물들은 퇴적층에 따라 배태되어 있으며, 변성광물들은 변성암에서 산출된다. 중사(重砂)를 이루고 있는 비중이 큰 광물들은 사력층(砂礫層)에서 산출된다.",
84,광물의 생성,광물은 여러 작용에 의하여 생성된다. 가장 일반적인 광물생성작용은 마그마로부터의 정출(晶出)이다. 마그마의 온도가 내려가면 그 속에 녹아 있던 성분이 결합하여 감람석 ·휘석 ·각섬석 ·사장석 ·정장석 ·운모 ·석영 등이 어떤 일정한 순서대로 정출된다. 또한 마그마가 고결(固結)되어 암석이 형성된 후에 남은 잔류용액 및 열수광화용액(熱水鑛化溶液)으로부터도 광물이 침전되어 각종 유용광물이 생성된다. 또한 온천수 ·해수(海水) ·지하수로부터 그 속에 녹아 있던 성분이 침전하여 광물이 만들어진다. 이미 만들어진 광물들이 변성작용을 받아 새로운 광물이 만들어지기도 한다. 최근에는 인공적으로 광물을 실험실에서 합성하는 연구가 많이 이루어져서 광물의 생성환경에 대한 이해가 넓어졌다.,
